"","H","C","K","D"
"14",0.999676571248776,0.000317933257968684,0.5,"3"
"15",0.999676571248776,0.000317933257968684,0.5,"3"
"16",0.999676571248776,0.000317933257968684,0.5,"3"
"17",0.999676571248776,0.000317933257968684,0.5,"3"
"18",0.999676571248776,0.000317933257968684,0.5,"3"
"19",0.999676571248776,0.000317933257968684,0.5,"3"
"20",0.999676571248776,0.000317933257968684,0.5,"3"
"21",0.998054604613637,0.00189932237370858,1,"3"
"22",0.998054604613637,0.00189932237370858,1,"3"
"23",0.998054604613637,0.00189932237370858,1,"3"
"24",0.998054604613637,0.00189932237370858,1,"3"
"25",0.998054604613637,0.00189932237370858,1,"3"
"26",0.998054604613637,0.00189932237370858,1,"3"
"27",0.998054604613637,0.00189932237370858,1,"3"
"28",0.998054604613637,0.00189932237370858,1,"3"
"29",0.998054604613637,0.00189932237370858,1,"3"
"30",0.998054604613637,0.00189932237370858,1,"3"
"31",0.998054604613637,0.00189932237370858,1,"3"
"32",0.998054604613637,0.00189932237370858,1,"3"
"33",0.998054604613637,0.00189932237370858,1,"3"
"34",0.998054604613637,0.00189932237370858,1,"3"
"35",0.998054604613637,0.00189932237370858,1,"3"
"36",0.998054604613637,0.00189932237370858,1,"3"
"37",0.998054604613637,0.00189932237370858,1,"3"
"38",0.998054604613637,0.00189932237370858,1,"3"
"39",0.998054604613637,0.00189932237370858,1,"3"
"40",0.998054604613637,0.00189932237370858,1,"3"
"41",0.992654782286792,0.00708385760377798,1.5,"3"
"42",0.992654782286792,0.00708385760377798,1.5,"3"
"43",0.992654782286792,0.00708385760377798,1.5,"3"
"44",0.992654782286792,0.00708385760377798,1.5,"3"
"45",0.992654782286792,0.00708385760377798,1.5,"3"
"46",0.992654782286792,0.00708385760377798,1.5,"3"
"47",0.992654782286792,0.00708385760377798,1.5,"3"
"48",0.992654782286792,0.00708385760377798,1.5,"3"
"49",0.992654782286792,0.00708385760377798,1.5,"3"
"50",0.992654782286792,0.00708385760377798,1.5,"3"
"51",0.992654782286792,0.00708385760377798,1.5,"3"
"52",0.992654782286792,0.00708385760377798,1.5,"3"
"53",0.992654782286792,0.00708385760377798,1.5,"3"
"54",0.992654782286792,0.00708385760377798,1.5,"3"
"55",0.992654782286792,0.00708385760377798,1.5,"3"
"56",0.992654782286792,0.00708385760377798,1.5,"3"
"57",0.992654782286792,0.00708385760377798,1.5,"3"
"58",0.992654782286792,0.00708385760377798,1.5,"3"
"59",0.992654782286792,0.00708385760377798,1.5,"3"
"60",0.992654782286792,0.00708385760377798,1.5,"3"
"61",0.976742994488452,0.0219102058792496,2,"3"
"62",0.976742994488452,0.0219102058792496,2,"3"
"63",0.976742994488452,0.0219102058792496,2,"3"
"64",0.976742994488452,0.0219102058792496,2,"3"
"65",0.976742994488452,0.0219102058792496,2,"3"
"66",0.976742994488452,0.0219102058792496,2,"3"
"67",0.976742994488452,0.0219102058792496,2,"3"
"68",0.976742994488452,0.0219102058792496,2,"3"
"69",0.976742994488452,0.0219102058792496,2,"3"
"70",0.976742994488452,0.0219102058792496,2,"3"
"71",0.976742994488452,0.0219102058792496,2,"3"
"72",0.976742994488452,0.0219102058792496,2,"3"
"73",0.976742994488452,0.0219102058792496,2,"3"
"74",0.976742994488452,0.0219102058792496,2,"3"
